天阳区奴隶类型设定

1.X类是以可爱为主要风格的正太萝莉型奴隶

2.Y类是以清秀为主要风格的少年少女型奴隶

3.Z类是以帅气为主要风格的帅哥御姐型奴隶（阳光运动风也归属此类）

4.“--”连接符号代表此奴隶风格介于两种类型之间

例:编号          代号        类型

29B701         佳奇           X

29B702         金涛           X

29B703         昊臻           Y

29B704         梓涵         X-Y

29B705         马赞           Z

29B706         忠澎           Y

29B707         轩齐         X-Z

29B708         维宝           Z

29B709         佑其           Y

29B710         江南           X

29B711          诺诚         Y-Z

29B712         小恒         X-Y

29B713         泓丽         Y-Z

29B714         小月           Y

29B715         凡淇         X-Z

29B716         思琪           X
